nino12,nino3,nino34,nino4
22.13,25.77,27.12,28.2
20.97,24.93,26.6,28.01
19.75,24.33,26.25,27.8
19.24,23.85,25.68,27.46
19.63,23.29,25.19,27.22
20.57,23.38,25.03,27.22
21.65,23.74,25.41,27.68
23.32,24.01,25.35,27.67
25.28,24.9,25.6,27.57
26.01,25.8,26.02,27.5
24.86,26.24,26.47,27.35
23.64,25.89,26.55,27.59
22.04,25.51,26.5,27.45
20.88,24.59,25.91,27.08
19.98,24.03,25.58,27.02
19.96,24,25.48,27.09
20.61,23.9,25.37,27.15
21.84,24.06,25.35,27.26
22.59,24.23,25.59,27.35
24.53,24.72,25.49,27.07
25.93,25.41,25.63,26.85
26.29,26.19,26.2,27.19
25.21,26.68,26.85,27.49
24.03,26.16,26.87,27.82
22.84,25.81,26.85,27.83
21.78,24.99,26.34,27.81
20.76,24.34,26.07,27.83
20.22,24.11,25.65,27.41
20.74,24.21,25.91,27.69
21.29,24.14,25.73,27.64
22.59,24.52,26.11,27.85
24.18,24.86,25.85,27.48
25.63,25.74,26.28,27.63
25.8,26.53,26.86,27.81
25.21,27.21,27.6,28.06
24.17,26.96,27.83,28.39
22.58,26.31,27.47,28.24
21.59,25.4,26.96,28.23
21.14,25.29,27.23,28.67
20.97,25.37,27.17,28.59
21.79,25.46,27.05,28.42
22.47,25.5,27.1,28.58
23.53,25.69,27.07,28.46
25.27,25.96,26.74,28.09
26.55,26.52,26.85,27.94
26.89,27.17,27.41,28.29
25.86,27.48,27.76,28.35
25.04,27.12,27.82,28.74
23.82,26.54,27.48,28.36
22.61,25.95,27.66,28.92
22.38,26.03,27.92,29.17
22.1,25.86,27.79,29.16
21.97,25.86,27.83,29.08
23.59,26.55,28.16,29.17
24.56,26.75,28.14,29.06
25.82,27.03,28.07,28.85
27.2,27.41,27.9,28.65
27.71,27.61,27.8,28.49
26.08,27.26,27.55,28.27
24.75,26.87,27.69,28.56
23.28,26.4,27.66,28.56
21.97,25.55,27.29,28.7
20.99,24.81,26.73,28.59
20.34,24.54,26.51,28.54
21.05,24.45,26.17,28.2
21.67,24.45,26.04,27.93
22.45,24.69,26.19,27.86
24.27,25.1,26.07,27.54
25.75,25.76,26.19,27.6
26.22,26.29,26.47,27.74
25.02,26.78,27.16,28.14
23.5,26.39,27.28,28.33
22.28,25.94,27.4,28.36
21.96,25.06,26.59,28.17
21.02,24.38,26.11,27.83
19.79,24.6,26.56,28.01
21.01,24.64,26.4,28.21
21.91,24.36,26,27.91
23.01,24.37,25.8,27.61
24.88,25.02,25.83,27.24
26.15,25.76,26.05,27.29
26.89,26.73,26.69,27.58
25.79,27.21,27.43,28.03
24.59,27.11,27.9,28.55
23.62,26.65,27.78,28.43
21.83,25.47,27.2,28.64
22.26,25.89,27.51,28.71
22.15,25.69,27.18,28.5
22.33,25.92,27.66,29.15
22.99,26.22,27.94,29.35
23.62,26.43,28.09,29.34
25.9,26.98,27.99,28.89
27.62,27.7,28.06,28.67
28.17,28.15,28.25,28.76
26.69,28.07,28.43,28.87
25.22,27.57,28.4,29.09
23.95,27.29,28.45,28.99
22.26,26.3,27.97,29
20.99,25.58,27.65,28.94
20.59,25.32,27.31,28.86
20.83,25.07,27.15,28.93
21.77,24.87,26.79,28.8
22.72,25.45,27.19,29
24.39,26.04,27.4,28.85
26.04,26.37,27.06,28.34
26.13,26.86,27.3,28.4
25.06,27.09,27.64,28.54
23.34,26.51,27.68,28.72
21.96,25.99,27.43,28.47
20.98,25.09,26.93,28.45
20.24,24.46,26.5,28.46
20.09,24.46,26.45,28.19
21.01,24.59,26.42,28.31
22.48,24.83,26.26,28.15
23.5,25.07,26.24,28.04
25.27,25.48,26.08,27.72
26.72,26.27,26.5,27.85
27.59,27.08,26.99,27.87
26.14,27.7,27.97,28.69
25.3,27.29,28.34,29.3
24.42,27.33,28.45,29.25
23.48,27.1,28.67,29.34
21.93,26.28,28.09,29.11
22.04,26.23,28.19,29.46
23.01,26.48,28.13,29.33
23.46,26.6,28.19,29.24
23.47,26.41,27.98,28.91
24.91,26.67,27.91,28.87
25.35,26.77,27.69,28.92
26.03,27.47,28.05,28.95
24.91,27.37,28.13,28.87
23.94,26.76,27.77,28.87
23.15,26.5,27.98,29.2
21.09,25.11,26.74,28.52
20,24.39,26.55,28.77
19.42,24.14,26.15,28.37
20.18,24.25,26.31,28.41
21.38,24.17,25.89,28.21
22.09,23.97,25.57,27.88
24.97,25.05,25.84,27.3
25.71,25.66,25.97,27.55
25.77,26.16,26.4,27.82
24.76,26.71,27.05,28.11
24.52,26.82,27.47,28.2
22.9,26.69,27.83,28.55
22.36,26.45,27.98,28.79
22.12,25.81,27.42,28.73
21.32,25.07,26.76,28.56
22.03,25.9,27.65,29.1
22.72,25.52,26.81,28.28
23.2,25.9,27.44,28.91
24.97,26.24,27.26,28.56
