nino12,nino3,nino34,nino4
27.41,28.25,28.87,29.4
27.83,28.62,28.86,29.44
25.95,28.25,28.82,29.38
24.91,27.27,28.32,29.44
23.51,26.56,27.75,29.27
21.78,25.34,26.97,29.01
21.1,24.5,26.4,28.69
20.79,24.71,26.29,28.52
21.03,24.41,25.99,28.3
21.8,24.5,26.02,28.33
23.04,24.66,26.07,28.31
25.05,25.5,26.24,28.13
27.24,26.75,26.75,28.15
28.29,27.34,27.17,28.24
26.15,27.9,27.99,28.69
24.71,27.37,28.17,29.1
23.19,26.51,27.91,29.15
21.38,25.66,27.44,29.07
20.16,24.63,26.69,28.84
19.26,24.01,26.2,28.59
19.74,24.11,26.21,28.57
20.44,23.87,25.81,28.41
21.48,24.05,25.74,28.14
23.47,24.42,25.72,27.96
25.89,25.58,26.03,27.9
25.43,26.24,26.53,28.19
24.85,27.05,27.41,28.68
24,26.89,27.75,29.1
22.52,26.64,27.81,29.1
21.77,25.86,27.49,29.12
20.37,24.88,26.93,29.13
20.66,25.03,27.05,29.24
21.36,25.64,27.57,29.52
22.57,25.97,27.65,29.44
23.81,26.12,27.56,29.34
25.38,26.17,27.09,28.77
26.98,26.94,27.38,28.76
26.55,27.73,28.06,28.97
26.02,28.12,28.44,29.08
24.7,27.62,28.48,29.46
22.87,26.9,28.34,29.56
21.48,25.66,27.64,29.49
20.63,25.03,27.07,29.21
19.86,24.68,26.86,29.2
20.36,25.02,27.29,29.53
21.91,25.41,27.39,29.5
22.83,25.4,27.1,29.22
24.6,25.95,27.22,29.14
26.29,26.55,27.25,28.92
26.29,27.09,27.62,28.98
25.69,27.82,28.26,29.11
24.22,26.83,27.74,28.99
22.56,25.92,27.48,29
20.75,25.23,27.18,28.95
20.49,24.56,26.46,28.58
19.69,24.11,26.09,28.41
20.07,23.93,25.54,28.01
21.02,24.09,25.64,28.13
22.26,24.37,25.61,27.77
24.14,24.78,25.54,27.34
25.58,25.55,25.82,27.33
26.23,26.47,26.54,27.75
24.7,26.8,27.22,28.23
23.73,26.54,27.45,28.66
23.06,26.39,27.63,28.84
21.71,25.41,27.03,28.66
20.75,24.72,26.5,28.48
20.26,24.5,26.25,28.37
20.47,24.29,25.95,28.22
20.9,24.1,25.78,28.15
21.73,24.02,25.52,27.82
23.82,24.61,25.81,28.01
25.18,25.43,26.08,27.93
26.14,26.39,26.42,27.73
24.62,26.57,26.86,27.9
23.42,26.08,26.84,28.13
22.17,25.74,26.92,28.21
21.3,25.21,26.67,28.19
20.69,24.4,25.92,27.88
19.77,24.01,25.7,27.82
19.69,23.88,25.74,27.82
20.97,24.26,25.89,28.05
22.35,24.3,25.73,27.87
